ID;Time;Volume;Flow
1;0;0;0,250624994
1;0,01;0,0030625;0,306249993
1;0,02;0,0065125;0,344999992
1;0,03;0,0100125;0,349999992
1;0,04;0,0132375;0,322499993
1;0,05;0,0160375;0,279999994
1;0,06;0,01846875;0,243124995
1;0,07;0,02066875;0,219999995
1;0,08;0,022768749;0,209999995
1;0,09;0,024818749;0,204999995
1;0,1;0,026824999;0,200624996
1;0,11;0,028699999;0,187499996
1;0,12;0,030312499;0,161249996
1;0,13;0,031537499;0,122499997
1;0,14;0,032381249;0,084374998
1;0,15;0,032987499;0,060624999
1;0,16;0,033537499;0,054999999
1;0,17;0,034137499;0,059999999
1;0,18;0,034799999;0,066249999
1;0,19;0,035487499;0,068749998
1;0,2;0,036174999;0,068749998
1;0,21;0,036837499;0,066249999
1;0,22;0,037456249;0,061874999
1;0,23;0,038024999;0,056874999
1;0,24;0,038537499;0,051249999
1;0,25;0,039024999;0,048749999
1;0,26;0,039549999;0,052499999
1;0,27;0,040137499;0,058749999
1;0,28;0,040762499;0,062499999
1;0,29;0,041399999;0,063749999
1;0,3;0,041987499;0,058749999
1;0,31;0,042468749;0,048124999
1;0,32;0,042856249;0,038749999
1;0,33;0,043231249;0,037499999
1;0,34;0,043656249;0,042499999
1;0,35;0,044112499;0,045624999
1;0,36;0,044549999;0,043749999
1;0,37;0,044962499;0,041249999
1;0,38;0,045368749;0,040624999
1;0,39;0,045793749;0,042499999
1;0,4;0,046218749;0,042499999
1;0,41;0,046618749;0,039999999
1;0,42;0,046981249;0,036249999
1;0,43;0,047318749;0,033749999
1;0,44;0,047631249;0,031249999
1;0,45;0,047918749;0,028749999
1;0,46;0,048206249;0,028749999
1;0,47;0,048518749;0,031249999
1;0,48;0,048843749;0,032499999
1;0,49;0,049156249;0,031249999
1;0,5;0,049456249;0,029999999
1;0,51;0,049749999;0,029374999
1;0,52;0,050031249;0,028124999
1;0,53;0,050293749;0,026249999
1;0,54;0,050556249;0,026249999
1;0,55;0,050856249;0,029999999
1;0,56;0,051243749;0,038749999
1;0,57;0,051881249;0,063749999
1;0,58;0,053068749;0,118749997
1;0,59;0,055587499;0,251874994
1;0,6;0,061312499;0,572499987
1;0,61;0,073593748;1,228124973
1;0,62;0,096193748;2,259999949
1;0,63;0,130806247;3,461249923
1;0,64;0,175581246;4,4774999
1;0,65;0,225981245;5,039999887
1;0,66;0,277781244;5,179999884
1;0,67;0,329193743;5,141249885
1;0,68;0,380681241;5,148749885
1;0,69;0,43346249;5,278124882
1;0,7;0,487987489;5,452499878
1;0,71;0,543849988;5,586249875
1;0,72;0,600487487;5,663749873
1;0,73;0,657443735;5,695624873
1;0,74;0,714443734;5,699999873
1;0,75;0,771656233;5,721249872
1;0,76;0,829468731;5,781249871
1;0,77;0,88825623;5,878749869
1;0,78;0,948293729;6,003749866
1;0,79;1,009743727;6,144999863
1;0,8;1,072668726;6,292499859
1;0,81;1,137381225;6,471249855
1;0,82;1,204281223;6,68999985
1;0,83;1,273618722;6,933749845
1;0,84;1,34545622;7,183749839
1;0,85;1,419787468;7,433124834
1;0,86;1,496431217;7,664374829
1;0,87;1,575381215;7,894999824
1;0,88;1,657181213;8,179999817
1;0,89;1,742406211;8,52249981
1;0,9;1,831012459;8,860624802
1;0,91;1,922299957;9,128749796
1;0,92;2,015299955;9,299999792
1;0,93;2,109143703;9,38437479
1;0,94;2,203131201;9,39874979
1;0,95;2,297031199;9,38999979
1;0,96;2,390881197;9,38499979
1;0,97;2,484237444;9,335624791
1;0,98;2,576237442;9,199999794
1;0,99;2,66616244;8,992499799
1;1;2,754112438;8,794999803
1;1,01;2,840312437;8,619999807
1;1,02;2,925018685;8,470624811
1;1,03;3,008481183;8,346249813
1;1,04;3,090381181;8,189999817
1;1,05;3,169699929;7,931874823
1;1,06;3,245024927;7,532499832
1;1,07;3,315787426;7,076249842
1;1,08;3,382674924;6,68874985
1;1,09;3,446643673;6,396874857
1;1,1;3,508168672;6,152499862
1;1,11;3,56746867;5,929999867
1;1,12;3,624649919;5,718124872
1;1,13;3,679493668;5,484374877
1;1,14;3,731693667;5,219999883
1;1,15;3,781531165;4,983749889
1;1,16;3,829599914;4,806874893
1;1,17;3,876437413;4,683749895
1;1,18;3,922399912;4,596249897
1;1,19;3,967618661;4,521874899
1;1,2;4,01193741;4,431874901
1;1,21;4,055062409;4,312499904
1;1,22;4,096743658;4,168124907
1;1,23;4,136899908;4,01562491
1;1,24;4,175737407;3,883749913
1;1,25;4,213487406;3,774999916
1;1,26;4,250174905;3,668749918
1;1,27;4,285712404;3,553749921
1;1,28;4,320212403;3,449999923
1;1,29;4,354087403;3,387499924
1;1,3;4,387662402;3,357499925
1;1,31;4,420762401;3,309999926
1;1,32;4,45275615;3,199374928
1;1,33;4,48305615;3,029999932
1;1,34;4,511693649;2,863749936
1;1,35;4,538868649;2,717499939
1;1,36;4,564818648;2,594999942
1;1,37;4,589881147;2,506249944
1;1,38;4,614318647;2,443749945
1;1,39;4,638462396;2,414374946
1;1,4;4,662412396;2,394999946
1;1,41;4,686037395;2,362499947
1;1,42;4,708937395;2,289999949
1;1,43;4,730899894;2,196249951
1;1,44;4,752049894;2,114999953
1;1,45;4,772687393;2,063749954
1;1,46;4,792899893;2,021249955
1;1,47;4,812562392;1,966249956
1;1,48;4,831587392;1,902499957
1;1,49;4,850062392;1,847499959
1;1,5;4,868149891;1,80874996
1;1,51;4,885962391;1,78124996
1;1,52;4,90348739;1,752499961
1;1,53;4,92068114;1,719374962
1;1,54;4,93746864;1,678749962
1;1,55;4,953693639;1,622499964
1;1,56;4,969256139;1,556249965
1;1,57;4,984131139;1,487499967
1;1,58;4,998393638;1,426249968
1;1,59;5,012193638;1,379999969
1;1,6;5,025668638;1,34749997
1;1,61;5,038962387;1,32937497
1;1,62;5,052062387;1,309999971
1;1,63;5,064862387;1,279999971
1;1,64;5,077349887;1,248749972
1;1,65;5,089699886;1,234999972
1;1,66;5,102018636;1,231874972
1;1,67;5,114268636;1,224999973
1;1,68;5,126331135;1,206249973
1;1,69;5,138006135;1,167499974
1;1,7;5,149243635;1,123749975
1;1,71;5,160131135;1,088749976
1;1,72;5,170749884;1,061874976
1;1,73;5,181106134;1,035624977
1;1,74;5,191162384;1,005624978
1;1,75;5,200874884;0,971249978
1;1,76;5,210299884;0,942499979
1;1,77;5,219499883;0,919999979
1;1,78;5,228474883;0,89749998
1;1,79;5,237143633;0,866874981
1;1,8;5,245468633;0,832499981
1;1,81;5,253481133;0,801249982
1;1,82;5,261268632;0,778749983
1;1,83;5,268943632;0,767499983
1;1,84;5,276549882;0,760624983
1;1,85;5,284037382;0,748749983
1;1,86;5,291362382;0,732499984
1;1,87;5,298568632;0,720624984
1;1,88;5,305674881;0,710624984
1;1,89;5,312662381;0,698749984
1;1,9;5,319487381;0,682499985
1;1,91;5,326149881;0,666249985
1;1,92;5,332649881;0,649999985
1;1,93;5,338987381;0,633749986
1;1,94;5,345249881;0,626249986
1;1,95;5,35153113;0,628124986
1;1,96;5,35779363;0,626249986
1;1,97;5,36390613;0,611249986
1;1,98;5,36980613;0,589999987
1;1,99;5,37551238;0,570624987
1;2;5,38113738;0,562499987
1;2,01;5,38683738;0,569999987
1;2,02;5,392674879;0,583749987
1;2,03;5,398549879;0,587499987
1;2,04;5,404324879;0,577499987
1;2,05;5,409962379;0,563749987
1;2,06;5,415518629;0,555624988
1;2,07;5,421049879;0,553124988
1;2,08;5,426518629;0,546874988
1;2,09;5,431874879;0,535624988
1;2,1;5,437162378;0,528749988
1;2,11;5,442437378;0,527499988
1;2,12;5,447712378;0,527499988
1;2,13;5,452949878;0,523749988
1;2,14;5,458087378;0,513749989
1;2,15;5,463106128;0,501874989
1;2,16;5,468043628;0,493749989
1;2,17;5,472924878;0,488124989
1;2,18;5,477737378;0,481249989
1;2,19;5,482524877;0,478749989
1;2,2;5,487387377;0,486249989
1;2,21;5,492387377;0,499999989
1;2,22;5,497462377;0,507499989
1;2,23;5,502487377;0,502499989
1;2,24;5,507399877;0,491249989
1;2,25;5,512199877;0,479999989
